geo,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,,,,,
Austria,4668590,58124427,60149752,30009782,13144434,12146067,10532965,9995110,13118799,6136687,1898403,953264,1150107,694994,4811693,156053,1560474,2452748,1950584,1057599,1150,,,,,
Belgium,889856,14314632,13184634,11114949,10003097,8954803,8690392,4889425,5110876,4652048,3875547,4154568,3138012,1761062,1383888,1236591,0,0,0,59150,54240,,,,,
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Switzerland,9674402,65701928,69347708,63937029,56977283,57518190,60496441,64063461,61953500,32830898,551229,139635,955824,295902,118242,820502,59782,512442,276837,99220,0,,,,,
Cyprus,51216,238349,236496,219029,208400,96180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Czech Republic,903634,5404568,5578675,4785143,3162140,1387092,121663,287948,876514,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Germany,98223,14633479,17114448,16244487,17022380,16781658,17677219,15519988,22214367,3734772,1664887,0,0,20901,0,0,0,5963,41789,450,149,,,,,
Denmark,6153920,21233646,20969755,18684759,19676838,15961335,16541726,17851220,12826345,9812735,6935269,5257783,2804642,2121802,1009548,529882,631304,777965,24686,74233,153128,,,,,
Estonia,400567,1968927,2058960,1480205,1251181,988440,716108,186484,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Spain,0,109186402,101798829,103466190,78482943,85823283,0,529595,1016763,3537412,2888978,822027,765776,0,1771213,604270,126319,901135,795287,534378,392989,,,,,
Finland,8140392,32157030,28398400,27564671,26511501,25357814,25128251,20419657,18535856,15629204,11502900,10876863,8652903,10928537,8298621,8333595,6734247,8260681,7177954,5840401,713032,,,,,
France,11263229,79346413,67522683,49829714,38488614,43817077,29085507,21818834,20314059,22587194,5858302,9207322,4441234,2667701,2241296,960349,719430,443662,88806,4552,0,,,,,
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Croatia,2195591,6783415,6026468,2834020,1269074,1145653,134959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Ireland,512418,2192627,2102754,2000596,2064629,2038069,2321526,0,0,0,0,0,0,151251,11163,0,0,0,0,0,0,,,,,
Iceland,3114321,18415060,18823081,18914478,18428126,15744320,6508643,10142345,11790581,8217203,1075981,0,0,0,0,0,0,0,0,0,0,,,,,
Italy,0,95298179,94523762,91500330,70898905,72518939,34307475,1589962,30395649,1058335,23958277,11693754,8924377,7047084,1288221,1185323,418397,73970,59549,302814,11396,,,,,
Lithuania,0,0,0,277913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Luxembourg,202401,721645,406355,311122,119410,138147,132497,65093,21519,358,375,0,0,0,0,0,0,0,0,0,0,,,,,
Latvia,270001,171145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Netherlands,16218661,93896644,60840977,30365198,16950566,13640067,13745294,11769970,11453422,11758179,11412579,10039633,9798441,8606142,6868385,7387430,6694284,2937410,250536,203052,0,,,,,
Norway,37712727,149390867,129166944,138055605,139654636,136054263,134664155,132193103,124360729,135679740,114647644,103925208,109972124,111080954,83289057,19762654,14506286,5625516,7817149,3500555,0,,,,,
Portugal,12046208,12321771,0,0,0,0,0,173524,189409,137417,146606,211099,140239,109641,123583,173857,50201,0,0,0,0,,,,,
Serbia,55755,228793,999,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Sweden,25057044,81278125,70824713,57037533,38939861,24282826,31729401,24745128,18488556,23098817,16847633,67270258,68039502,67433903,34358895,25293491,16589875,5832690,2040632,3150720,100223,,,,,
Slovenia,806472,4514751,4121656,3052464,2734000,4293000,0,4335100,3469000,819700,72917,35652,35652,135681,31570,31653,167396,3600714,0,0,0,,,,,
Slovakia,603542,3358369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90158,0,,,,,
Total,141039170,870881192,773198049,671685804,555988018,538687223,392534222,340575947,356135944,279690699,203337527,224587066,218818833,213055555,145605375,66475650,48257995,31424896,20523809,14917282,1426307,,,,,
